term,definition,function
Henry of Guise,"Leader of the Catholic League in France, opposed Protestant influence","Mobilized Catholic League against Protestant influence in France"
Gaspard de Coligny,"Huguenot leader assassinated during the St. Bartholomew’s Day massacre","Symbolized Huguenot leadership and became a martyr of religious violence"
Philip II,"Spanish king who led Catholic crusades and launched the Spanish Armada","Centralized Spanish power and led Catholic crusades across Europe"
Council of Blood,"Harsh tribunal led by Duke of Alva to suppress Dutch revolt","Suppressed Dutch resistance through brutal repression"
Union of Utrecht,"Alliance of northern Dutch provinces declaring independence from Spain","Established Dutch independence and Protestant unity"
Mary Queen of Scots,"Catholic rival to Elizabeth I, executed for plotting against the English crown","Threatened Elizabethan stability and fueled Catholic plots"
Pope Sixtus V,"Supported Catholic League and Spanish intervention in France","Supported Catholic intervention in European religious conflicts"
Protestant Union,"Alliance of German Protestant states formed to defend religious interests","Defended Protestant interests in the Holy Roman Empire"
Catholic League,"Coalition of Catholic states aiming to suppress Protestantism in the Holy Roman Empire","Consolidated Catholic power against Protestant expansion"
Prince Henry 'The Navigator',"Portuguese royal who sponsored early exploration along the African coast","Launched Portugal’s maritime exploration and navigational advances"
Vasco da Gama,"Portuguese explorer who reached India by sea, opening trade routes","Opened direct sea trade routes between Europe and India"
Astrolabe,"Navigational instrument used to determine latitude at sea","Improved navigation and enabled transoceanic exploration"
Hernando Cortes,"Spanish conquistador who defeated the Aztec Empire","Conquered the Aztec Empire and expanded Spanish colonial rule"
Christopher Columbus,"Explorer who initiated European colonization of the Americas in 1492","Initiated sustained European contact with the Americas"
Francisco Pizarro,"Spanish conquistador who conquered the Inca Empire","Toppled the Inca Empire and secured vast wealth for Spain"
Price revolution,"Period of inflation in 16th-century Europe due to influx of New World silver","Disrupted European economies through inflation and demographic shifts"
Viceroyalities,"Spanish colonial administrative divisions governed by viceroys","Structured Spanish colonial administration into centralized regions"
Bartolomé de Las Casas,"Spanish priest who advocated for indigenous rights in the Americas","Advocated for indigenous rights and criticized colonial abuses"
Columbian Exchange,"Global transfer of plants, animals, and diseases between Old and New Worlds","Transformed global ecosystems and economies through biological exchange"
Captaincies,"Portuguese colonial land grants used to govern Brazil","Delegated colonial governance in Brazil through land grants"
Intendants,"French royal officials who enforced central authority in provinces","Strengthened royal control through provincial oversight in France"
Encomienda system,"Spanish labor system granting colonists control over indigenous labor","Exploited indigenous labor under the guise of protection and conversion"
Inca Empire,"Advanced Andean civilization conquered by Spain in the 16th century","Demonstrated advanced Andean civilization prior to Spanish conquest"
Treaty of Tordesillas,"1494 agreement dividing New World territories between Spain and Portugal","Divided colonial spheres between Spain and Portugal to avoid conflict"
Ferdinand Magellan,"Led first circumnavigation of the globe, though he died en route","Proved global circumnavigation and expanded geographic knowledge"
Mexica (Aztec) Empire,"Powerful Mesoamerican empire conquered by Cortes","Exemplified Mesoamerican power and ritual before Spanish conquest"
Malacca,"Strategic Southeast Asian port controlled by Portuguese for spice trade","Controlled strategic trade routes in Southeast Asia"
Zheng He,"Chinese admiral who led massive naval expeditions during the Ming dynasty","Showcased Ming naval power through diplomatic voyages"
Conquistadores,"Spanish soldiers who led conquests in the Americas","Expanded Spanish empire through military conquest and colonization"
Magnetic compass,"Navigation tool that helped determine direction at sea","Enabled directional navigation and maritime precision"
Lisbon,"Capital of Portugal and hub of early European exploration","Served as a hub for Portuguese exploration and trade"
Puritans,"English Protestants seeking to purify the Church of England","Sought religious purification and influenced English political culture"
Philip III,"Spanish king whose reign saw decline in imperial power","Presided over Spain’s decline through passive governance"
Philip IV,"Spanish king during Thirty Years’ War; faced internal and external challenges","Struggled to maintain Spanish dominance during Thirty Years’ War"
Lateen sail,"Triangular sail that improved maneuverability for oceanic navigation","Enhanced ship maneuverability and facilitated oceanic exploration"
Military revolution,"Transformation in warfare during early modern Europe, including gunpowder and professional armies","Redefined warfare through gunpowder, fortifications, and professional armies"
